name,mentions,week
David Marks,1,2015-03-08
David Marks,2,2015-03-15
David Marks,7,2015-03-22
David Marks,4,2015-03-29
David Marks,4,2015-04-05
David Marks,1,2015-04-12
David Marks,0,2015-04-19
David Marks,0,2015-04-26
David Marks,0,2015-05-03
David Marks,0,2015-05-10
David Marks,0,2015-05-17
David Marks,0,2015-05-24
David Marks,0,2015-05-31
David Marks,0,2015-06-07
David Marks,0,2015-06-14
Chicago,3,2015-02-15
Chicago,1,2015-02-22
Chicago,0,2015-03-01
Chicago,1,2015-03-08
Chicago,0,2015-03-15
Chicago,0,2015-03-22
Chicago,0,2015-03-29
Chicago,3,2015-04-05
Chicago,5,2015-04-12
Chicago,5,2015-04-19
